DocumentSource,SlideNumber,Content
LILAIRE.pdf,12,"FORMULA SUNBEAM

Aldehydic

Citrus

Fresh

Green

Floral

Aldehyde C-10

Dihydro Myrcenol
Orange Heart LMR
Aldehyde C-12 MNA
Hexenyl Salicylate, Cis-3
Undecavertol

Benzyl Acetate
Citronellol 950 RNW
Florhydral

Floriffol

Hexyl Cinnamic Aldehyde
Lilaire™
Peonile

Phenyl Acetaldehyde DMA
Rosyrane Super 10%

LIQUID DETERGENT 1.2%

IFF

IFF

IFF
IFF

IFF

(-)
10.00
260.00
2.00
35.00
25.00
10.00
40.00
40.00
4.00
75.00

70.00

60.00
1.00
2.50

(+)

30.00

*formula continues over next column

Fruity

Musk
Amber

Woody

Cyclaprop®

Delta Damascone
Methyl Anthranilate
Verdox™
Edenolide

Amber Xtreme™
Bacdanol®

Iso E Super®

Patchouli Oil Light LMR

DPG

IFF

IFF
IFF
IFF
IFF
IFF

TOTAL:

(-) (+)
140.00
9.00
9.00
90.00
12.00
0.50
20.00
60.00
3.00

30.00 -
1,000.00 1,000.00"
OCEANOL_Sales Deck_June2025.pdf,1,"Confidential
Confidential"
OCEANOL_Sales Deck_June2025.pdf,2,"Confidential
Confidential"
OCEANOL_Sales Deck_June2025.pdf,3,Confidential
OCEANOL_Sales Deck_June2025.pdf,4,"OCEANOL

Methyl 2,4-dihydroxy-3-methylbenzoate
IPC NUMBER 190782

FRESH
Mossy, Marine, Ozonic

NOTE IMPACT

TOP M High
HEART M@ High
BASE M@ High

OLFACTORY DESCRIPTION

HO

Readily
Biodegradable

OH

of

Fresh, bright ozonic marine top note with a full-bodied earthy, mossy and woody dry down.

Vegan
Suitable

CHEMICAL FORMULA OLFACTORY TERRITORY CAS NUMBER MOLECULAR WEIGHT
CoH 190, Air 33662-58-7

VISUAL DESCRIPTION GC SUMMARY FLASH POINT SUBSTANTIVITY
Crystalline See product data sheet > 92°C > 72 hours

TYPICAL USE LEVEL VAPOR PRESSURE LOG P

Up to 2% 0.000051 mm Hg @ 23°C 2.97

PRODUCT PERFORMANCE STABILITY
Fine Fragrance Very Good Very Good
Shampoo Good Very Good
AP Deo Good Good
Soap Good Good
Liquid Detergent Good Very Good
Powder Detergent Good Good
Fabric Conditioner Very Good Good
Candle Good Very Good
Acid Cleaner Good Moderate
Bleach Poor Poor"
OCEANOL_Sales Deck_June2025.pdf,5,Confidential
OCEANOL_Sales Deck_June2025.pdf,6,"FORMULA CANALITO

Citrus

Herbal
Fresh

Green

Floral

Fruity

Bergamot Oil Cp LMR
Citral N

Dihydro Myrcenol
Grapefruit Oil
Mandarin Oil Hp
Methyl Pamplemousse
Anethole

Oceanol

Galbascone 10%
Adoxal 10%
Citronellol 950
Floralozone
Geranium Oil Chinese
Kharismal Super

Allyl Amyl Glycolate
Delta Damascone

Verdox™

IFF

IFF
IFF
IFF

IFF
IFF
IFF
IFF
IFF
IFF

FINE FRAGRANCE 15%

(-)
150.00
5.00
80.00
30.00
20.00
10.00
1.00

5.00
5.00
20.00
10.00
2.00
105.00
10.00
2.00
70.00

*formula continues over next column

(+)O+

0.60

(+)O++

3.00

(+)O&V

Aromatic
Spicy
Musk

Amber

Woody

Tobacco/hay

Animalic

Lavandin Grosso Pure
Turmeric Leaf Oil India LMR
Bellanone

Ambermor

Cashmeran®

lonone Beta Extra

Javanol

Patchouli Oil Indonesia For Life
LMR

Sanjinol
Timbersilk™
Veramoss
Vertofix® Coeur
Vetiver Oil Haiti
Coumarin

Indole 1%

Triethyl Citrate

IFF
IFF
IFF
IFF

IFF

IFF
IFF
IFF
IFF
IFF

TOTAL:

2.00
5.00
70.00
5.00
50.00
3.00
5.00

10.00

25.00
150.00
6.00
20.00
40.00
5.00
5.00

74,00

(+)O+

79.40

(+)O++

77,00

|

Blotter number (-): O07 | (+)O+: 02 | (+)O++: 03 | (+)O8V: 04

(+)O&V

76.00

1,000.00 1,000.00 1,000.00 1,000.00"
OCEANOL_Sales Deck_June2025.pdf,7,Confidential
OCEANOL_Sales Deck_June2025.pdf,8,"FORMULA FIESTA FLORAL

Aldehydic Aldehyde C-9

Herbal

Green

Floral

Linalool

Hexenol, Cis-3

Triplal

Aquaflora™

Benzyl Acetate

Citronellol 950

Geraniol 980

Hexyl Cinnamic Aldehyde
Methyl Dihydro Jasmonate
Phenoxanol®

Phenyl Acetaldehyde DMA
Phenyl Ethyl Alcohol

Ylang Ylang Oil Complete
Madagascar LMR

Ylanganate [a
Lilybreeze DEW

IFF

IFF

IFF

IFF

IFF

IFF
IFF

*formula continues over next column

| ALL PURPOSE CLEANER 1%

2.50
50.00
3.00
15.00
3.00
82.00
95.00
95.00
100.00
99.00
67.00
5.00
166.00

4.00
50.00

(+)O

Fruity

Spicy

Musk
Amber
Woody
Fresh

Animalic

Delta Damascone

Hexyl Acetate

Cinnamic Alcohol

Turmeric Leaf Oil India LMR
Ethylene Brassylate
Cashmeran®

Veramoss

Oceanol 10%

Indole

IFF

IFF

IFF
IFF
IFF

TOTAL:

(-) (+)O
0.50
30.00
5.00
5.00
100.00
17.00

1.00 -

- 1.00
2.00

1,000.00 1,000.00"
OCEANOL_Sales Deck_June2025.pdf,9,Confidential
OCEANOL_Sales Deck_June2025.pdf,10,"FORMULA KYANEOS |

Aldehydic

Citrus

Herbal

Green

Floral

Intreleven Aldehyde
Dihydro Myrcenol
Camphor

Iso Bornyl Acetate
Thujone Ex Cedarleaf Oil LMR
Triplal

Citronellol 950
Diphenyl Oxide
Jasmea

Phenyl Ethyl Alcohol
Rosalva

Rose Oxide
Starfleur™

Styralyl Acetate
Terpinelol-4
Ylanganate [a

FABRIC CONDITIONER 1%

IFF

IFF

IFF

IFF

IFF

IFF

*formula continues over next column

20.00
120.00
7.00
50.00
1.00
10.00
60.00
3.00
25.00
100.00
5.00
4.00
20.00
5.00
1.00
2.00

(+)O

Aldehyde C-18

Benzyl Propionate

Cyclacet®

Fruity Delta Damascone

Dimethyl Benzyl Carbinyl Acetate

Nectarate™
Verdox™
Balsamic Phenyl Ethyl Phenyl Acetate
Bellanone
Musk
Zenolide
Woody Veramoss
Fresh Oceanol 10%

Powdery/sweet Ethyl! Vanillin

Tobacco/hay Aubepine

Triethyl Citrate

IFF

IFF

IFF
IFF
IFF
IFF
IFF

TOTAL:

(-)
3.00
25.00
40.00
5.00
5.00
60.00
217.00
5.00
20.00
75.00
5.00

5.00
2.00

100.00
1000.00

(+)O

5.00

100.00
1000.00"
OCEANOL_Sales Deck_June2025.pdf,11,Confidential
OCEANOL_Sales Deck_June2025.pdf,12,"FORMULA SALTED CARAMEL

Citrus
Herbal

Fresh

Floral

Fruity

Spicy

Balsamic

Lemon Oil Italy

Linalool

Adoxal

Calone

Floriffol

Methyl Beta Naphthyl Ketone
Methyl Dihydro Jasmonate
Aldehyde C-18

Butyl Butyryl Lactone
Cyclotene 10%

Decalactone Gamma
Dodecalactone, Gamma
Veltol Plus

Veraspice™ 10% IFF

Benzyl Salicylate

*formula continues over next column

| SHOWER GEL 1%

(-)
10.00
100.00
1.00
1.00
33.00
6.00
120.00
110.00
2.00
2.00
60.00
12.00
15.00
1.00
100.00

(+)

Musk

Amber

Woody

Fresh
Powdery/sweet

Tobacco/hay

Edenolide

Ethylene Brassylate
Ambermor

Cashmeran®

Iso E Super®
Karmawood™

Methyl lonone Gamma A
Sandalore

Oceanol 10%

Ethyl Vanillin

Coumarin

IFF

IFF
IFF
IFF
IFF

IFF

TOTAL:

(-) (+)
30.00

150.00 130.00
3.00
20.00
100.00
4.00
30.00
20.00

- 20.00
20.00
50.00

1,000.00 1,000.00"
OCEANOL_Sales Deck_June2025.pdf,13,Confidential
